Name,Quantity,Link,Price / unit,Total Price,Stock,Notes
Totals,12,,,$152.46,,
Case,2,,$0.00,$0.00,Not yet started,
Plate (PET Sheet),1,"https://www.amazon.com/Plexiglass-Crafting-Projects-Picture-Protective/dp/B09XF1TQHB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.10R_-2yNAhZViipNca6Zf9xkqk9I1QIBUxtJO_iINpkDb9IwVx4P31rpP9H3EO7ysskqDdGnAlE4nWUGan3pE5aZfTZ1oOpbksXjdEwP2hss11W0yoy-t7vxswoYbklbitsB9q4NBkXEqGao7PaBLepoxr1EU5OdQVq8oBDpMccU5Wo5aoN2r0vZahZV6Civ9ElU16tEIUwKsBW5mXZq_6hEgQaZ7Dpv5_H3_Fnv4Js.8-lc5lz720R6ZFSLCInFvYpdkozC6vPNsw6wJbFEUV8&dib_tag=se&keywords=frosted%2Bplexiglass%2Bsheet%2B24x36&qid=1765217327&sr=8-9&th=1",$24.99,$24.99,Not yet started,
Durock Stabilizers,1,"https://www.amazon.com/dp/B0B2RVN19F/ref=sspa_dk_detail_2?pd_rd_i=B0B2RVN19F&pd_rd_w=qPwKj&content-id=amzn1.sym.7446a9d1-25fe-4460-b135-a60336bad2c9&pf_rd_p=7446a9d1-25fe-4460-b135-a60336bad2c9&pf_rd_r=23JTGDYJK48SQ1SRF2V9&pd_rd_wg=YpPiM&pd_rd_r=6da9dd4b-0890-4861-8df2-cc6eb0c9ea3e&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1",$19.00,$19.00,Not yet started,
Seeed Studio XIAO nRF52840,1,"https://www.seeedstudio.com/Seeed-XIAO-BLE-nRF52840-p-5201.html",$10.00,$10.00,Not yet started,
nice!view,1,"https://typeractive.xyz/products/nice-view",$20.00,$20.00,Not yet started,
50 pcs Pack Kailh Hot-swappable PCB Socket,2,"https://www.amazon.com/Hot-swappable-Socket-CPG151101S11-Mechanical-Keyboard/dp/B07K8CCMQZ",$21.00,$42.00,Not yet started,
PCB,1,,$0.00,$0.00,Not yet started,
Magnets,1,"https://www.amazon.com/Magnets-Refrigerator-Cylinder-Whiteboard-Miniature/dp/B0956WH813/ref=sr_1_4?dib=eyJ2IjoiMSJ9.xk-3R3zhnKjmXKz5Yd6K-ONP6aUcJVVi1gNjLmZAUpqwUVoh730en-UqGrX5TTxLZrmmBmHhdTdlMdncL2ZKK9zWSP6Jrukm3kFniL77pBZKV_wXqYZHmFR3LN-ES3aDQ6mC3ktX3pjp6pJdOOaFlrGIxnYHIZJeftQ35FmzGsJYYxKRgkW2pL-C7R18g6H0YkyYGZ21712wscmtJ4X0CI-kjoLq_Gj25RagNcv_ZkU.byDh4S5Bnpg0Lp4rzoHN7kT1a5vu9tDPoQetFJYfbM4&dib_tag=se&keywords=small%2Bstrong%2Bmagnets&qid=1765300442&sr=8-4&th=1",$6.99,$6.99,Not yet started,
Gasket Tape,1,"https://www.amazon.com/Neoprene-Adhesive-Gaskets-Warehouse-Flooring/dp/B09QGJFM72/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.j0QXFGkXdisHfDXq1leRGsndh8ddblN9EPThafzONsjJ0RWGcqOqtZdM0PdOpZGdVr2iH8PwBE8sml_bgE4eHa3U7aNR6aYDBmtuspmydMmV_jaDa4LevHVnxrqaWIXVbkJZHdhaDTmcJqiblgF03Bj85T7L1dpCu9K1Tp4D8ERgLRfNJBrPwBeSxeY52LthSrNm0b_rtOb5VC-bFLXVf_YSaK9oC9QK3SvqeNNGO0k.4dihKTdPTZYeXbkvMgRp97XnUVqiLaLM7HvLqwo8jPk&dib_tag=se&keywords=rubber%2Bgasket&qid=1763763252&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",$13.99,$13.99,Not yet started,
Battery,1,"https://www.amazon.com/Qimoo-5200mah-19-24Wh-Rechargeable-Batteries-Electronics/dp/B0CP7M4MY1/ref=pd_day0_d_sccl_2_4/138-9949487-3708914?pd_rd_w=MBrmH&content-id=amzn1.sym.5689c70e-0b55-4c28-8f36-ab0512c0b73c&pf_rd_p=5689c70e-0b55-4c28-8f36-ab0512c0b73c&pf_rd_r=QB160DJCR0GYT9Z5TZKK&pd_rd_wg=IQrEW&pd_rd_r=11de7a2e-5f95-48a2-ac0e-a2d40394a429&pd_rd_i=B0CP7M4MY1&th=1",$15.49,$15.49,,
